instance time_smart smart
instances/train/Correia_Random_2_1_0_9.txt 1 9960
instances/train/Correia_Random_2_2_7_6.txt 3 12820
instances/train/Correia_Random_1_1_7_6.txt 1 5230
instances/train/Correia_Random_1_1_11_8.txt 1 8030
instances/train/Correia_Random_1_1_9_5.txt 1 5570
instances/train/Correia_Random_2_1_3_3.txt 2 9640
instances/train/Correia_Random_2_2_11_5.txt 4 15910
instances/train/Correia_Random_1_3_5_10.txt 0 7540
instances/train/Correia_Random_1_3_11_6.txt 0 9270
instances/train/Correia_Random_2_2_0_4.txt 3 12280
instances/train/Correia_Random_2_1_11_1.txt 6 14300
instances/train/Correia_Random_2_3_2_8.txt 2 14830
instances/train/Correia_Random_2_2_2_8.txt 3 11730
instances/train/Correia_Random_2_1_7_5.txt 5 10220
instances/train/Correia_Random_1_3_10_4.txt 0 8470
instances/train/Correia_Random_2_2_8_1.txt 4 12570
instances/train/Correia_Random_2_2_5_5.txt 3 12310
instances/train/Correia_Random_1_2_3_3.txt 1 6370
instances/train/Correia_Random_1_3_1_3.txt 0 7850
instances/train/Correia_Random_2_1_4_10.txt 3 10900
instances/train/Correia_Random_2_3_9_1.txt 3 15750
instances/train/Correia_Random_1_2_8_8.txt 0 6020
instances/train/Correia_Random_1_1_10_3.txt 0 6220
instances/train/Correia_Random_1_1_5_4.txt 0 4770
instances/train/Correia_Random_2_1_10_4.txt 4 12160
instances/train/Correia_Random_1_1_8_9.txt 1 5240
instances/train/Correia_Random_1_2_6_5.txt 0 6190
instances/train/Correia_Random_2_1_6_6.txt 3 10180
instances/train/Correia_Random_1_1_11_5.txt 1 8420
instances/train/Correia_Random_1_1_3_7.txt 0 5050
instances/train/Correia_Random_1_3_7_2.txt 0 7850
instances/train/Correia_Random_2_3_5_6.txt 1 15950
instances/train/Correia_Random_2_3_5_9.txt 1 15050
instances/train/Correia_Random_1_3_2_10.txt 0 7490
instances/train/Correia_Random_2_1_0_2.txt 1 10090
instances/train/Correia_Random_1_2_11_4.txt 0 8650
instances/train/Correia_Random_2_3_4_6.txt 1 15950
instances/train/Correia_Random_1_1_1_5.txt 0 4800
instances/train/Correia_Random_2_1_2_2.txt 1 10100
instances/train/Correia_Random_1_1_5_3.txt 0 5090
instances/train/Correia_Random_1_2_11_2.txt 0 8130
instances/train/Correia_Random_1_3_7_10.txt 0 7620
instances/train/Correia_Random_1_1_5_2.txt 1 5830
instances/train/Correia_Random_2_3_7_9.txt 1 15160
instances/train/Correia_Random_2_3_6_4.txt 1 15120
instances/train/Correia_Random_1_2_9_6.txt 1 6770
instances/train/Correia_Random_2_3_8_2.txt 2 15570
instances/train/Correia_Random_2_3_0_3.txt 1 15000
instances/train/Correia_Random_1_2_11_6.txt 0 8300
instances/train/Correia_Random_1_1_8_4.txt 0 5080
instances/train/Correia_Random_1_1_7_2.txt 1 5860
instances/train/Correia_Random_2_3_6_5.txt 1 15550
instances/train/Correia_Random_1_1_9_10.txt 1 5900
instances/train/Correia_Random_2_2_9_8.txt 4 12400
instances/train/Correia_Random_2_1_7_1.txt 6 9940
instances/train/Correia_Random_2_1_6_9.txt 3 10160
instances/train/Correia_Random_1_2_9_4.txt 0 6840
instances/train/Correia_Random_2_2_6_5.txt 3 12340
instances/train/Correia_Random_1_2_6_2.txt 0 6180
instances/train/Correia_Random_1_1_7_8.txt 0 5510
instances/train/Correia_Random_1_1_1_1.txt 0 5200
instances/train/Correia_Random_2_1_4_7.txt 3 10240
instances/train/Correia_Random_2_3_11_9.txt 3 17460
instances/train/Correia_Random_2_2_0_10.txt 3 11680
instances/train/Correia_Random_2_1_7_10.txt 3 11080
instances/train/Correia_Random_1_3_10_6.txt 0 8500
instances/train/Correia_Random_1_1_11_9.txt 0 7990
instances/train/Correia_Random_2_3_1_3.txt 1 15000
instances/train/Correia_Random_2_3_8_9.txt 1 15420
instances/train/Correia_Random_1_3_11_3.txt 0 9220
instances/train/Correia_Random_2_1_2_8.txt 2 10390
instances/train/Correia_Random_1_3_6_6.txt 0 8000
instances/train/Correia_Random_2_2_3_2.txt 3 11830
instances/train/Correia_Random_2_1_8_9.txt 4 10250
instances/train/Correia_Random_2_3_3_10.txt 2 15050
instances/train/Correia_Random_2_1_9_10.txt 6 11550
instances/train/Correia_Random_1_2_8_2.txt 0 6340
instances/train/Correia_Random_1_3_9_2.txt 0 8100
instances/train/Correia_Random_1_1_8_2.txt 0 6050
instances/train/Correia_Random_1_1_2_3.txt 0 5000
instances/train/Correia_Random_2_1_11_10.txt 5 14790
instances/train/Correia_Random_1_3_1_8.txt 0 7620
instances/train/Correia_Random_2_2_8_8.txt 4 12150
instances/train/Correia_Random_1_3_4_10.txt 0 7520
instances/train/Correia_Random_2_3_2_9.txt 1 15030
instances/train/Correia_Random_2_2_2_2.txt 2 11830
instances/train/Correia_Random_1_2_2_5.txt 0 6120
instances/train/Correia_Random_2_3_8_3.txt 1 15250
instances/train/Correia_Random_1_1_0_2.txt 0 5670
instances/train/Correia_Random_1_3_7_8.txt 0 7690
instances/train/Correia_Random_2_1_7_9.txt 3 10210
instances/train/Correia_Random_1_2_1_7.txt 0 6160
instances/train/Correia_Random_1_1_6_4.txt 0 4780
instances/train/Correia_Random_1_2_1_1.txt 0 6040
instances/train/Correia_Random_2_2_0_7.txt 3 12150
instances/train/Correia_Random_1_1_9_4.txt 1 5540
instances/train/Correia_Random_1_1_2_9.txt 0 4900
instances/train/Correia_Random_1_3_3_7.txt 0 7700
instances/train/Correia_Random_1_1_6_1.txt 0 5320
instances/train/Correia_Random_2_3_1_2.txt 1 15310
instances/train/Correia_Random_2_1_10_10.txt 6 12130
instances/train/Correia_Random_2_2_1_1.txt 3 12310
instances/train/Correia_Random_2_3_4_2.txt 1 15340
instances/train/Correia_Random_1_2_0_2.txt 0 6190
instances/train/Correia_Random_2_3_2_1.txt 1 15200
instances/train/Correia_Random_2_3_7_10.txt 1 15100
instances/train/Correia_Random_1_2_8_3.txt 0 6620
instances/train/Correia_Random_1_3_2_4.txt 0 7800
instances/train/Correia_Random_1_2_9_2.txt 0 6690
instances/train/Correia_Random_1_1_7_7.txt 1 5200
instances/train/Correia_Random_2_3_11_7.txt 3 17660
instances/train/Correia_Random_1_1_4_2.txt 0 5840
instances/train/Correia_Random_1_2_3_8.txt 0 5710
instances/train/Correia_Random_2_2_4_1.txt 3 12370
